space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,18,556.0,28.449999999999818,63.323339438339424,26,0,541.0,571.0,571.0,541.0,3.44999999999982,53.44999999999982
0,19,586.0,28.449999999999818,65.75894179894179,21,0,571.0,601.0,601.0,571.0,3.44999999999982,53.44999999999982
0,20,616.0,28.449999999999818,64.79298245614035,19,0,601.0,631.0,631.0,601.0,3.44999999999982,53.44999999999982
0,21,646.0,28.449999999999818,64.34776785714284,28,0,631.0,661.0,661.0,631.0,3.44999999999982,53.44999999999982
0,22,676.0,28.449999999999818,68.84490842490843,13,0,661.0,691.0,691.0,661.0,3.44999999999982,53.44999999999982
0,23,706.0,28.449999999999818,69.98985294117647,17,0,691.0,721.0,721.0,691.0,3.44999999999982,53.44999999999982
0,24,736.0,28.449999999999818,61.82417989417988,27,0,721.0,751.0,751.0,721.0,3.44999999999982,53.44999999999982
0,25,766.0,28.449999999999818,60.226777087646646,23,0,751.0,781.0,781.0,751.0,3.44999999999982,53.44999999999982
0,26,796.0,28.449999999999818,61.3430612244898,28,0,781.0,811.0,811.0,781.0,3.44999999999982,53.44999999999982
0,27,826.0,28.449999999999818,65.69062216553287,28,0,811.0,841.0,841.0,811.0,3.44999999999982,53.44999999999982
0,28,856.0,28.449999999999818,58.320706349206354,35,0,841.0,871.0,871.0,841.0,3.44999999999982,53.44999999999982
0,29,886.0,28.449999999999818,55.471974448315905,41,0,871.0,901.0,901.0,871.0,3.44999999999982,53.44999999999982
0,30,916.0,28.449999999999818,59.283089225589215,33,0,901.0,931.0,931.0,901.0,3.44999999999982,53.44999999999982
0,31,946.0,28.449999999999818,67.298059732665,19,0,931.0,961.0,961.0,931.0,3.44999999999982,53.44999999999982
0,32,976.0,28.449999999999818,62.546419753086425,27,0,961.0,991.0,991.0,961.0,3.44999999999982,53.44999999999982
0,33,1006.0,28.449999999999818,67.71020923520925,22,0,991.0,1021.0,1021.0,991.0,3.44999999999982,53.44999999999982
0,34,1036.0,28.449999999999818,71.70829629629631,15,0,1021.0,1051.0,1051.0,1021.0,3.44999999999982,53.44999999999982
0,35,1066.0,28.449999999999818,68.47328320802004,19,0,1051.0,1081.0,1081.0,1051.0,3.44999999999982,53.44999999999982
0,36,1096.0,28.449999999999818,67.44853535353536,22,0,1081.0,1111.0,1111.0,1081.0,3.44999999999982,53.44999999999982
0,37,1126.0,28.449999999999818,67.0297802197802,13,0,1111.0,1141.0,1141.0,1111.0,3.44999999999982,53.44999999999982
0,38,1156.0,28.449999999999818,64.62557907113462,27,0,1141.0,1171.0,1171.0,1141.0,3.44999999999982,53.44999999999982
0,39,1186.0,28.449999999999818,66.08254901960784,17,0,1171.0,1201.0,1201.0,1171.0,3.44999999999982,53.44999999999982
0,40,1216.0,28.449999999999818,62.845310618500264,29,0,1201.0,1231.0,1231.0,1201.0,3.44999999999982,53.44999999999982
0,41,1246.0,28.449999999999818,61.74892063492063,15,0,1231.0,1261.0,1261.0,1231.0,3.44999999999982,53.44999999999982
0,42,1276.0,28.449999999999818,61.136214896214895,26,0,1261.0,1291.0,1291.0,1261.0,3.44999999999982,53.44999999999982
0,43,1306.0,28.449999999999818,62.44597777777779,25,0,1291.0,1321.0,1321.0,1291.0,3.44999999999982,53.44999999999982
0,44,1336.0,28.449999999999818,66.75241587301589,25,0,1321.0,1351.0,1351.0,1321.0,3.44999999999982,53.44999999999982
0,45,1366.0,28.449999999999818,60.94155529953917,31,0,1351.0,1381.0,1381.0,1351.0,3.44999999999982,53.44999999999982
0,46,1396.0,28.449999999999818,65.61048185941041,28,0,1381.0,1411.0,1411.0,1381.0,3.44999999999982,53.44999999999982
0,47,1426.0,28.449999999999818,71.31960526315791,19,0,1411.0,1441.0,1441.0,1411.0,3.44999999999982,53.44999999999982
0,48,1456.0,28.449999999999818,70.26883040935672,19,0,1441.0,1471.0,1471.0,1441.0,3.44999999999982,53.44999999999982
0,49,1486.0,28.449999999999818,64.65385416666666,32,0,1471.0,1501.0,1501.0,1471.0,3.44999999999982,53.44999999999982
0,50,1516.0,28.449999999999818,62.6248201058201,30,0,1501.0,1531.0,1531.0,1501.0,3.44999999999982,53.44999999999982
0,51,1546.0,28.449999999999818,76.95186507936508,23,0,1531.0,1561.0,1561.0,1531.0,3.44999999999982,53.44999999999982
0,52,1576.0,28.449999999999818,68.23148496240601,19,0,1561.0,1591.0,1591.0,1561.0,3.44999999999982,53.44999999999982
0,53,1606.0,28.449999999999818,63.99497448979592,14,0,1591.0,1621.0,1621.0,1591.0,3.44999999999982,53.44999999999982
0,54,1636.0,28.449999999999818,66.9156216931217,21,0,1621.0,1651.0,1651.0,1621.0,3.44999999999982,53.44999999999982
0,55,1666.0,28.449999999999818,63.27065396825397,25,0,1651.0,1681.0,1681.0,1651.0,3.44999999999982,53.44999999999982
0,56,1696.0,28.449999999999818,66.1341507936508,25,0,1681.0,1711.0,1711.0,1681.0,3.44999999999982,53.44999999999982
0,57,1726.0,28.449999999999818,61.73542717086834,34,0,1711.0,1741.0,1741.0,1711.0,3.44999999999982,53.44999999999982
0,58,1756.0,28.449999999999818,64.55680952380953,20,0,1741.0,1771.0,1771.0,1741.0,3.44999999999982,53.44999999999982
0,59,1786.0,28.449999999999818,66.96087777777778,25,0,1771.0,1801.0,1801.0,1771.0,3.44999999999982,53.44999999999982
0,60,1816.0,28.449999999999818,61.53418803418803,26,0,1801.0,1831.0,1831.0,1801.0,3.44999999999982,53.44999999999982
0,61,1846.0,28.449999999999818,67.23233371126227,21,0,1831.0,1861.0,1861.0,1831.0,3.44999999999982,53.44999999999982
0,62,1876.0,28.449999999999818,69.27307341269841,20,0,1861.0,1891.0,1891.0,1861.0,3.44999999999982,53.44999999999982
0,63,1906.0,28.449999999999818,63.25379251700681,21,0,1891.0,1921.0,1921.0,1891.0,3.44999999999982,53.44999999999982
0,64,1936.0,28.449999999999818,68.32180672268908,17,0,1921.0,1951.0,1951.0,1921.0,3.44999999999982,53.44999999999982
0,65,1966.0,28.449999999999818,64.30040935672513,19,0,1951.0,1981.0,1981.0,1951.0,3.44999999999982,53.44999999999982
0,66,1996.0,28.449999999999818,57.99736507936506,35,0,1981.0,2011.0,2011.0,1981.0,3.44999999999982,53.44999999999982
0,67,2026.0,28.449999999999818,58.05416666666666,15,0,2011.0,2041.0,2041.0,2011.0,3.44999999999982,53.44999999999982
0,68,2056.0,28.449999999999818,58.809044566544564,39,0,2041.0,2071.0,2071.0,2041.0,3.44999999999982,53.44999999999982
0,69,2086.0,28.449999999999818,54.00697994987469,38,0,2071.0,2101.0,2101.0,2071.0,3.44999999999982,53.44999999999982
0,70,2116.0,28.449999999999818,55.00945644149131,43,0,2101.0,2131.0,2131.0,2101.0,3.44999999999982,53.44999999999982
0,71,2146.0,28.449999999999818,57.08721685971685,37,0,2131.0,2161.0,2161.0,2131.0,3.44999999999982,53.44999999999982
0,72,2176.0,28.449999999999818,66.82111111111111,25,0,2161.0,2191.0,2191.0,2161.0,3.44999999999982,53.44999999999982
0,73,2206.0,28.449999999999818,62.309428571428576,20,0,2191.0,2221.0,2221.0,2191.0,3.44999999999982,53.44999999999982
0,74,2236.0,28.449999999999818,58.69693877551021,14,0,2221.0,2251.0,2251.0,2221.0,3.44999999999982,53.44999999999982
0,75,2266.0,28.449999999999818,58.324196428571426,28,0,2251.0,2281.0,2281.0,2251.0,3.44999999999982,53.44999999999982
0,76,2296.0,28.449999999999818,63.842702020202026,33,0,2281.0,2311.0,2311.0,2281.0,3.44999999999982,53.44999999999982
0,77,2326.0,28.449999999999818,70.11166666666665,10,0,2311.0,2341.0,2341.0,2311.0,3.44999999999982,53.44999999999982
0,78,2356.0,28.449999999999818,57.82794047619048,40,0,2341.0,2371.0,2371.0,2341.0,3.44999999999982,53.44999999999982
0,79,2386.0,28.449999999999818,61.48834101382489,31,0,2371.0,2401.0,2401.0,2371.0,3.44999999999982,53.44999999999982
0,80,2416.0,28.449999999999818,67.65441520467836,19,0,2401.0,2431.0,2431.0,2401.0,3.44999999999982,53.44999999999982
0,81,2446.0,28.449999999999818,69.0282264957265,13,0,2431.0,2461.0,2461.0,2431.0,3.44999999999982,53.44999999999982
0,82,2476.0,28.449999999999818,64.73639846743295,29,0,2461.0,2491.0,2491.0,2461.0,3.44999999999982,53.44999999999982
0,83,2506.0,28.449999999999818,65.9514880952381,24,0,2491.0,2521.0,2521.0,2491.0,3.44999999999982,53.44999999999982
0,84,2536.0,28.449999999999818,64.8670989229025,28,0,2521.0,2551.0,2551.0,2521.0,3.44999999999982,53.44999999999982
0,85,2566.0,28.449999999999818,63.890730994152065,19,0,2551.0,2581.0,2581.0,2551.0,3.44999999999982,53.44999999999982
0,86,2596.0,28.449999999999818,55.04307486057487,37,0,2581.0,2611.0,2611.0,2581.0,3.44999999999982,53.44999999999982
0,87,2626.0,28.449999999999818,64.63399176954734,27,0,2611.0,2641.0,2641.0,2611.0,3.44999999999982,53.44999999999982
0,88,2656.0,28.449999999999818,76.5771527777778,8,0,2641.0,2671.0,2671.0,2641.0,3.44999999999982,53.44999999999982
0,89,2686.0,28.449999999999818,66.48878086419754,18,0,2671.0,2701.0,2701.0,2671.0,3.44999999999982,53.44999999999982
0,90,2716.0,28.449999999999818,53.81947044334975,29,0,2701.0,2731.0,2731.0,2701.0,3.44999999999982,53.44999999999982
0,91,2746.0,28.449999999999818,59.6433717357911,31,0,2731.0,2761.0,2761.0,2731.0,3.44999999999982,53.44999999999982
0,92,2776.0,28.449999999999818,63.85321995464853,21,0,2761.0,2791.0,2791.0,2761.0,3.44999999999982,53.44999999999982
