space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,0,10.375,25.275000000000205,71.9403086419753,9,0,1.0,31.0,19.75,-10.25,0.275000000000205,50.275000000000205
0,1,40.375,25.275000000000205,68.71421957671957,21,0,31.0,61.0,49.75,19.75,0.275000000000205,50.275000000000205
0,2,70.375,25.275000000000205,69.34446296296298,15,0,61.0,91.0,79.75,49.75,0.275000000000205,50.275000000000205
0,3,100.375,25.275000000000205,64.59903061224489,21,0,91.0,121.0,109.75,79.75,0.275000000000205,50.275000000000205
0,4,130.375,25.275000000000205,65.68055555555554,18,0,121.0,151.0,139.75,109.75,0.275000000000205,50.275000000000205
0,5,160.375,25.275000000000205,61.98021241830064,17,0,151.0,181.0,169.75,139.75,0.275000000000205,50.275000000000205
0,6,190.375,25.275000000000205,63.074205026455026,30,0,181.0,211.0,199.75,169.75,0.275000000000205,50.275000000000205
0,7,220.375,25.275000000000205,59.64259259259259,27,0,211.0,241.0,229.75,199.75,0.275000000000205,50.275000000000205
0,8,250.375,25.275000000000205,67.33591049382716,18,0,241.0,271.0,259.75,229.75,0.275000000000205,50.275000000000205
0,9,280.375,25.275000000000205,61.31181818181818,33,0,271.0,301.0,289.75,259.75,0.275000000000205,50.275000000000205
0,10,310.375,25.275000000000205,61.08158436213993,27,0,301.0,331.0,319.75,289.75,0.275000000000205,50.275000000000205
0,11,340.375,25.275000000000205,67.31415674603173,20,0,331.0,361.0,349.75,319.75,0.275000000000205,50.275000000000205
0,12,370.375,25.275000000000205,64.87140079365079,20,0,361.0,391.0,379.75,349.75,0.275000000000205,50.275000000000205
0,13,400.375,25.275000000000205,69.69563492063494,21,0,391.0,421.0,409.75,379.75,0.275000000000205,50.275000000000205
0,14,430.375,25.275000000000205,67.58805555555556,8,0,421.0,451.0,439.75,409.75,0.275000000000205,50.275000000000205
0,15,460.375,25.275000000000205,56.04645604395606,13,0,451.0,481.0,469.75,439.75,0.275000000000205,50.275000000000205
0,16,490.375,25.275000000000205,49.48858543417367,51,0,481.0,511.0,499.75,469.75,0.275000000000205,50.275000000000205
0,17,520.375,25.275000000000205,53.67479262672811,31,0,511.0,541.0,529.75,499.75,0.275000000000205,50.275000000000205
0,18,550.375,25.275000000000205,54.30785714285716,37,0,541.0,571.0,559.75,529.75,0.275000000000205,50.275000000000205
0,19,580.375,25.275000000000205,62.51461988304095,19,0,571.0,601.0,589.75,559.75,0.275000000000205,50.275000000000205
0,20,610.375,25.275000000000205,64.56887853692201,23,0,601.0,631.0,619.75,589.75,0.275000000000205,50.275000000000205
0,21,640.375,25.275000000000205,63.70257478632478,26,0,631.0,661.0,649.75,619.75,0.275000000000205,50.275000000000205
0,22,670.375,25.275000000000205,60.270294784580486,21,0,661.0,691.0,679.75,649.75,0.275000000000205,50.275000000000205
0,23,700.375,25.275000000000205,61.08210648148148,12,0,691.0,721.0,709.75,679.75,0.275000000000205,50.275000000000205
0,24,730.375,25.275000000000205,62.339761904761914,21,0,721.0,751.0,739.75,709.75,0.275000000000205,50.275000000000205
0,25,760.375,25.275000000000205,60.01422743055555,32,0,751.0,781.0,769.75,739.75,0.275000000000205,50.275000000000205
0,26,790.375,25.275000000000205,66.05936507936505,21,0,781.0,811.0,799.75,769.75,0.275000000000205,50.275000000000205
0,27,820.375,25.275000000000205,63.77088383838384,22,0,811.0,841.0,829.75,799.75,0.275000000000205,50.275000000000205
0,28,850.375,25.275000000000205,65.39890211640211,21,0,841.0,871.0,859.75,829.75,0.275000000000205,50.275000000000205
