space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,32,970.375,26.577777777777662,46.28095320767195,48,0,961.0,991.0,979.75,949.75,1.57777777777766,51.57777777777766
0,33,1000.375,26.577777777777662,51.36175125313282,38,0,991.0,1021.0,1009.75,979.75,1.57777777777766,51.57777777777766
0,34,1030.375,26.577777777777662,49.48262188208618,42,0,1021.0,1051.0,1039.75,1009.75,1.57777777777766,51.57777777777766
0,35,1060.375,26.577777777777662,43.24892063492064,45,0,1051.0,1081.0,1069.75,1039.75,1.57777777777766,51.57777777777766
0,36,1090.375,26.577777777777662,49.25340136054421,35,0,1081.0,1111.0,1099.75,1069.75,1.57777777777766,51.57777777777766
0,37,1120.375,26.577777777777662,47.954410774410775,33,0,1111.0,1141.0,1129.75,1099.75,1.57777777777766,51.57777777777766
0,38,1150.375,26.577777777777662,55.690000000000005,15,0,1141.0,1171.0,1159.75,1129.75,1.57777777777766,51.57777777777766
0,39,1180.375,26.577777777777662,65.75854910714285,16,0,1171.0,1201.0,1189.75,1159.75,1.57777777777766,51.57777777777766
0,40,1210.375,26.577777777777662,57.92732600732599,26,0,1201.0,1231.0,1219.75,1189.75,1.57777777777766,51.57777777777766
0,41,1240.375,26.577777777777662,58.87555555555556,30,0,1231.0,1261.0,1249.75,1219.75,1.57777777777766,51.57777777777766
0,42,1270.375,26.577777777777662,61.6806283068783,18,0,1261.0,1291.0,1279.75,1249.75,1.57777777777766,51.57777777777766
0,43,1300.375,26.577777777777662,62.676854636591486,19,0,1291.0,1321.0,1309.75,1279.75,1.57777777777766,51.57777777777766
0,44,1330.375,26.577777777777662,60.7563961038961,11,0,1321.0,1351.0,1339.75,1309.75,1.57777777777766,51.57777777777766
0,45,1360.375,26.577777777777662,55.53866959064329,38,0,1351.0,1381.0,1369.75,1339.75,1.57777777777766,51.57777777777766
0,46,1390.375,26.577777777777662,53.137499999999996,38,0,1381.0,1411.0,1399.75,1369.75,1.57777777777766,51.57777777777766
0,47,1420.375,26.577777777777662,64.65286549707602,19,0,1411.0,1441.0,1429.75,1399.75,1.57777777777766,51.57777777777766
0,48,1450.375,26.577777777777662,61.98410714285713,28,0,1441.0,1471.0,1459.75,1429.75,1.57777777777766,51.57777777777766
0,49,1480.375,26.577777777777662,62.39707738095238,20,0,1471.0,1501.0,1489.75,1459.75,1.57777777777766,51.57777777777766
0,50,1510.375,26.577777777777662,55.578153594771244,34,0,1501.0,1531.0,1519.75,1489.75,1.57777777777766,51.57777777777766
