space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,0,16.0,28.30000000000009,74.00017094017093,13,0,1.0,31.0,31.0,1.0,3.30000000000009,53.30000000000009
0,1,46.0,28.30000000000009,74.955,8,0,31.0,61.0,61.0,31.0,3.30000000000009,53.30000000000009
0,2,76.0,28.30000000000009,60.94066017316017,33,0,61.0,91.0,91.0,61.0,3.30000000000009,53.30000000000009
0,3,106.0,28.30000000000009,64.1659977324263,28,0,91.0,121.0,121.0,91.0,3.30000000000009,53.30000000000009
0,4,136.0,28.30000000000009,73.8568888888889,20,0,121.0,151.0,151.0,121.0,3.30000000000009,53.30000000000009
0,5,166.0,28.30000000000009,78.749375,12,0,151.0,181.0,181.0,151.0,3.30000000000009,53.30000000000009
0,6,196.0,28.30000000000009,71.46824074074074,27,0,181.0,211.0,211.0,181.0,3.30000000000009,53.30000000000009
0,7,226.0,28.30000000000009,67.47228070175436,19,0,211.0,241.0,241.0,211.0,3.30000000000009,53.30000000000009
0,8,256.0,28.30000000000009,70.64958333333334,16,0,241.0,271.0,271.0,241.0,3.30000000000009,53.30000000000009
0,9,286.0,28.30000000000009,69.17547619047619,14,0,271.0,301.0,301.0,271.0,3.30000000000009,53.30000000000009
0,10,316.0,28.30000000000009,77.83035714285715,8,0,301.0,331.0,331.0,301.0,3.30000000000009,53.30000000000009
0,11,346.0,28.30000000000009,72.01125,8,0,331.0,361.0,361.0,331.0,3.30000000000009,53.30000000000009
0,12,376.0,28.30000000000009,58.437337662337676,22,0,361.0,391.0,391.0,361.0,3.30000000000009,53.30000000000009
0,13,406.0,28.30000000000009,59.95114348370928,38,0,391.0,421.0,421.0,391.0,3.30000000000009,53.30000000000009
0,14,436.0,28.30000000000009,67.87651785714286,24,0,421.0,451.0,451.0,421.0,3.30000000000009,53.30000000000009
0,15,466.0,28.30000000000009,63.96171296296297,24,0,451.0,481.0,481.0,451.0,3.30000000000009,53.30000000000009
0,16,496.0,28.30000000000009,61.77353968253968,35,0,481.0,511.0,511.0,481.0,3.30000000000009,53.30000000000009
0,17,526.0,28.30000000000009,63.88128427128427,22,0,511.0,541.0,541.0,511.0,3.30000000000009,53.30000000000009
0,18,556.0,28.30000000000009,57.10943452380952,36,0,541.0,571.0,571.0,541.0,3.30000000000009,53.30000000000009
0,19,586.0,28.30000000000009,60.68663003663005,26,0,571.0,601.0,601.0,571.0,3.30000000000009,53.30000000000009
0,20,616.0,28.30000000000009,61.985168350168365,33,0,601.0,631.0,631.0,601.0,3.30000000000009,53.30000000000009
0,21,646.0,28.30000000000009,66.55458333333334,18,0,631.0,661.0,661.0,631.0,3.30000000000009,53.30000000000009
0,22,676.0,28.30000000000009,60.03718253968255,28,0,661.0,691.0,691.0,661.0,3.30000000000009,53.30000000000009
0,23,706.0,28.30000000000009,59.49142857142857,38,0,691.0,721.0,721.0,691.0,3.30000000000009,53.30000000000009
0,24,736.0,28.30000000000009,62.63545442908347,31,0,721.0,751.0,751.0,721.0,3.30000000000009,53.30000000000009
0,25,766.0,28.30000000000009,66.1909523809524,18,0,751.0,781.0,781.0,751.0,3.30000000000009,53.30000000000009
0,26,796.0,28.30000000000009,68.92491475602588,27,0,781.0,811.0,811.0,781.0,3.30000000000009,53.30000000000009
0,27,826.0,28.30000000000009,62.759006769374416,34,0,811.0,841.0,841.0,811.0,3.30000000000009,53.30000000000009
0,28,856.0,28.30000000000009,64.51316409897291,34,0,841.0,871.0,871.0,841.0,3.30000000000009,53.30000000000009
0,29,886.0,28.30000000000009,64.56623873873875,37,0,871.0,901.0,901.0,871.0,3.30000000000009,53.30000000000009
0,30,916.0,28.30000000000009,68.61661782661784,26,0,901.0,931.0,931.0,901.0,3.30000000000009,53.30000000000009
0,31,946.0,28.30000000000009,72.40166666666666,8,0,931.0,961.0,961.0,931.0,3.30000000000009,53.30000000000009
0,32,976.0,28.30000000000009,58.1326530612245,35,0,961.0,991.0,991.0,961.0,3.30000000000009,53.30000000000009
0,33,1006.0,28.30000000000009,54.596645299145294,39,0,991.0,1021.0,1021.0,991.0,3.30000000000009,53.30000000000009
0,34,1036.0,28.30000000000009,59.06158834586465,38,0,1021.0,1051.0,1051.0,1021.0,3.30000000000009,53.30000000000009
0,35,1066.0,28.30000000000009,51.72360465116279,43,0,1051.0,1081.0,1081.0,1051.0,3.30000000000009,53.30000000000009
0,36,1096.0,28.30000000000009,50.07050179211471,31,0,1081.0,1111.0,1111.0,1081.0,3.30000000000009,53.30000000000009
0,37,1126.0,28.30000000000009,54.73914021164022,21,0,1111.0,1141.0,1141.0,1111.0,3.30000000000009,53.30000000000009
