space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,0,10.375,28.30000000000009,74.01518518518517,12,0,1.0,31.0,19.75,-10.25,3.30000000000009,53.30000000000009
0,1,40.375,28.30000000000009,74.82888888888888,9,0,31.0,61.0,49.75,19.75,3.30000000000009,53.30000000000009
0,2,70.375,28.30000000000009,59.12969576719576,27,0,61.0,91.0,79.75,49.75,3.30000000000009,53.30000000000009
0,3,100.375,28.30000000000009,65.01096332785987,29,0,91.0,121.0,109.75,79.75,3.30000000000009,53.30000000000009
0,4,130.375,28.30000000000009,71.4713888888889,20,0,121.0,151.0,139.75,109.75,3.30000000000009,53.30000000000009
0,5,160.375,28.30000000000009,75.89578125,16,0,151.0,181.0,169.75,139.75,3.30000000000009,53.30000000000009
0,6,190.375,28.30000000000009,72.81210000000002,25,0,181.0,211.0,199.75,169.75,3.30000000000009,53.30000000000009
0,7,220.375,28.30000000000009,68.33438596491227,19,0,211.0,241.0,229.75,199.75,3.30000000000009,53.30000000000009
0,8,250.375,28.30000000000009,70.04962962962964,18,0,241.0,271.0,259.75,229.75,3.30000000000009,53.30000000000009
0,9,280.375,28.30000000000009,69.01044444444445,15,0,271.0,301.0,289.75,259.75,3.30000000000009,53.30000000000009
0,10,310.375,28.30000000000009,78.24257142857145,5,0,301.0,331.0,319.75,289.75,3.30000000000009,53.30000000000009
0,11,340.375,28.30000000000009,73.95,8,0,331.0,361.0,349.75,319.75,3.30000000000009,53.30000000000009
0,12,370.375,28.30000000000009,62.483025210084044,17,0,361.0,391.0,379.75,349.75,3.30000000000009,53.30000000000009
0,13,400.375,28.30000000000009,58.614980694980694,37,0,391.0,421.0,409.75,379.75,3.30000000000009,53.30000000000009
0,14,430.375,28.30000000000009,66.65611247947454,29,0,421.0,451.0,439.75,409.75,3.30000000000009,53.30000000000009
0,15,460.375,28.30000000000009,63.34140211640213,21,0,451.0,481.0,469.75,439.75,3.30000000000009,53.30000000000009
0,16,490.375,28.30000000000009,63.499802867383515,31,0,481.0,511.0,499.75,469.75,3.30000000000009,53.30000000000009
0,17,520.375,28.30000000000009,61.47215755437979,27,0,511.0,541.0,529.75,499.75,3.30000000000009,53.30000000000009
0,18,550.375,28.30000000000009,58.98087184873949,34,0,541.0,571.0,559.75,529.75,3.30000000000009,53.30000000000009
0,19,580.375,28.30000000000009,58.91044217687075,28,0,571.0,601.0,589.75,559.75,3.30000000000009,53.30000000000009
0,20,610.375,28.30000000000009,60.97383986928103,34,0,601.0,631.0,619.75,589.75,3.30000000000009,53.30000000000009
0,21,640.375,28.30000000000009,66.19486842105263,19,0,631.0,661.0,649.75,619.75,3.30000000000009,53.30000000000009
0,22,670.375,28.30000000000009,63.630505050505036,22,0,661.0,691.0,679.75,649.75,3.30000000000009,53.30000000000009
0,23,700.375,28.30000000000009,59.129863945578236,42,0,691.0,721.0,709.75,679.75,3.30000000000009,53.30000000000009
0,24,730.375,28.30000000000009,60.21296957671958,30,0,721.0,751.0,739.75,709.75,3.30000000000009,53.30000000000009
0,25,760.375,28.30000000000009,66.53987012987014,22,0,751.0,781.0,769.75,739.75,3.30000000000009,53.30000000000009
0,26,790.375,28.30000000000009,68.49856532356533,26,0,781.0,811.0,799.75,769.75,3.30000000000009,53.30000000000009
0,27,820.375,28.30000000000009,64.02301707551709,33,0,811.0,841.0,829.75,799.75,3.30000000000009,53.30000000000009
0,28,850.375,28.30000000000009,63.46320226070225,33,0,841.0,871.0,859.75,829.75,3.30000000000009,53.30000000000009
0,29,880.375,28.30000000000009,64.37998299319729,35,0,871.0,901.0,889.75,859.75,3.30000000000009,53.30000000000009
0,30,910.375,28.30000000000009,68.1628297755884,29,0,901.0,931.0,919.75,889.75,3.30000000000009,53.30000000000009
0,31,940.375,28.30000000000009,70.70944444444446,12,0,931.0,961.0,949.75,919.75,3.30000000000009,53.30000000000009
0,32,970.375,28.30000000000009,60.03724489795919,28,0,961.0,991.0,979.75,949.75,3.30000000000009,53.30000000000009
0,33,1000.375,28.30000000000009,53.95188492063492,42,0,991.0,1021.0,1009.75,979.75,3.30000000000009,53.30000000000009
0,34,1030.375,28.30000000000009,59.23788029100529,36,0,1021.0,1051.0,1039.75,1009.75,3.30000000000009,53.30000000000009
0,35,1060.375,28.30000000000009,52.37937037037039,45,0,1051.0,1081.0,1069.75,1039.75,3.30000000000009,53.30000000000009
0,36,1090.375,28.30000000000009,50.133501683501684,33,0,1081.0,1111.0,1099.75,1069.75,3.30000000000009,53.30000000000009
0,37,1120.375,28.30000000000009,54.661421568627446,17,0,1111.0,1141.0,1129.75,1099.75,3.30000000000009,53.30000000000009
0,38,1150.375,28.30000000000009,49.579438534278964,47,0,1141.0,1171.0,1159.75,1129.75,3.30000000000009,53.30000000000009
0,39,1180.375,28.30000000000009,44.562947845804985,49,0,1171.0,1201.0,1189.75,1159.75,3.30000000000009,53.30000000000009
0,40,1210.375,28.30000000000009,54.256223155929035,17,0,1201.0,1231.0,1219.75,1189.75,3.30000000000009,53.30000000000009
0,41,1240.375,28.30000000000009,56.418156370656355,37,0,1231.0,1261.0,1249.75,1219.75,3.30000000000009,53.30000000000009
0,42,1270.375,28.30000000000009,59.214554334554336,26,0,1261.0,1291.0,1279.75,1249.75,3.30000000000009,53.30000000000009
0,43,1300.375,28.30000000000009,53.89956511175899,49,0,1291.0,1321.0,1309.75,1279.75,3.30000000000009,53.30000000000009
0,44,1330.375,28.30000000000009,54.392237484737485,39,0,1321.0,1351.0,1339.75,1309.75,3.30000000000009,53.30000000000009
