space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,0,10.375,28.449999999999818,69.80341666666666,20,0,1.0,31.0,19.75,-10.25,3.44999999999982,53.44999999999982
0,1,40.375,28.449999999999818,68.90743589743592,13,0,31.0,61.0,49.75,19.75,3.44999999999982,53.44999999999982
0,2,70.375,28.449999999999818,65.29854166666668,24,0,61.0,91.0,79.75,49.75,3.44999999999982,53.44999999999982
0,3,100.375,28.449999999999818,61.055356150793656,40,0,91.0,121.0,109.75,79.75,3.44999999999982,53.44999999999982
0,4,130.375,28.449999999999818,62.43571300563236,31,0,121.0,151.0,139.75,109.75,3.44999999999982,53.44999999999982
0,5,160.375,28.449999999999818,74.71486111111112,12,0,151.0,181.0,169.75,139.75,3.44999999999982,53.44999999999982
0,6,190.375,28.449999999999818,62.210486111111116,28,0,181.0,211.0,199.75,169.75,3.44999999999982,53.44999999999982
0,7,220.375,28.449999999999818,64.10326465201464,26,0,211.0,241.0,229.75,199.75,3.44999999999982,53.44999999999982
0,8,250.375,28.449999999999818,68.51637566137568,21,0,241.0,271.0,259.75,229.75,3.44999999999982,53.44999999999982
0,9,280.375,28.449999999999818,68.25981694828471,31,0,271.0,301.0,289.75,259.75,3.44999999999982,53.44999999999982
0,10,310.375,28.449999999999818,57.5297473867596,41,0,301.0,331.0,319.75,289.75,3.44999999999982,53.44999999999982
0,11,340.375,28.449999999999818,71.79405753968253,16,0,331.0,361.0,349.75,319.75,3.44999999999982,53.44999999999982
0,12,370.375,28.449999999999818,67.14018907563025,17,0,361.0,391.0,379.75,349.75,3.44999999999982,53.44999999999982
0,13,400.375,28.449999999999818,67.33289164941338,23,0,391.0,421.0,409.75,379.75,3.44999999999982,53.44999999999982
0,14,430.375,28.449999999999818,60.707018588137004,38,0,421.0,451.0,439.75,409.75,3.44999999999982,53.44999999999982
0,15,460.375,28.449999999999818,62.77502463054188,29,0,451.0,481.0,469.75,439.75,3.44999999999982,53.44999999999982
0,16,490.375,28.449999999999818,71.41790309106098,19,0,481.0,511.0,499.75,469.75,3.44999999999982,53.44999999999982
0,17,520.375,28.449999999999818,69.99784126984129,20,0,511.0,541.0,529.75,499.75,3.44999999999982,53.44999999999982
0,18,550.375,28.449999999999818,64.07464458247067,23,0,541.0,571.0,559.75,529.75,3.44999999999982,53.44999999999982
0,19,580.375,28.449999999999818,64.69816425120774,23,0,571.0,601.0,589.75,559.75,3.44999999999982,53.44999999999982
0,20,610.375,28.449999999999818,67.01644444444443,15,0,601.0,631.0,619.75,589.75,3.44999999999982,53.44999999999982
0,21,640.375,28.449999999999818,63.18343869731801,29,0,631.0,661.0,649.75,619.75,3.44999999999982,53.44999999999982
0,22,670.375,28.449999999999818,69.42877248677249,15,0,661.0,691.0,679.75,649.75,3.44999999999982,53.44999999999982
0,23,700.375,28.449999999999818,69.09691176470587,17,0,691.0,721.0,709.75,679.75,3.44999999999982,53.44999999999982
0,24,730.375,28.449999999999818,62.645952380952366,24,0,721.0,751.0,739.75,709.75,3.44999999999982,53.44999999999982
0,25,760.375,28.449999999999818,61.39639054232803,24,0,751.0,781.0,769.75,739.75,3.44999999999982,53.44999999999982
