space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,0,10.375,26.37999999999984,67.98674603174602,13,0,1.0,31.0,19.75,-10.25,1.37999999999984,51.37999999999984
0,1,40.375,26.37999999999984,67.65071010860487,19,0,31.0,61.0,49.75,19.75,1.37999999999984,51.37999999999984
0,2,70.375,26.37999999999984,63.36949263038548,28,0,61.0,91.0,79.75,49.75,1.37999999999984,51.37999999999984
0,3,100.375,26.37999999999984,69.36319444444445,18,0,91.0,121.0,109.75,79.75,1.37999999999984,51.37999999999984
0,4,130.375,26.37999999999984,63.366948223733935,21,0,121.0,151.0,139.75,109.75,1.37999999999984,51.37999999999984
0,5,160.375,26.37999999999984,64.36445601851854,24,0,151.0,181.0,169.75,139.75,1.37999999999984,51.37999999999984
0,6,190.375,26.37999999999984,65.5626406926407,22,0,181.0,211.0,199.75,169.75,1.37999999999984,51.37999999999984
0,7,220.375,26.37999999999984,68.89222222222222,14,0,211.0,241.0,229.75,199.75,1.37999999999984,51.37999999999984
0,8,250.375,26.37999999999984,72.54735827664399,14,0,241.0,271.0,259.75,229.75,1.37999999999984,51.37999999999984
0,9,280.375,26.37999999999984,67.82533333333335,15,0,271.0,301.0,289.75,259.75,1.37999999999984,51.37999999999984
0,10,310.375,26.37999999999984,69.16043083900226,21,0,301.0,331.0,319.75,289.75,1.37999999999984,51.37999999999984
0,11,340.375,26.37999999999984,70.24871904761905,25,0,331.0,361.0,349.75,319.75,1.37999999999984,51.37999999999984
0,12,370.375,26.37999999999984,68.88042857142858,15,0,361.0,391.0,379.75,349.75,1.37999999999984,51.37999999999984
0,13,400.375,26.37999999999984,69.94724937343359,19,0,391.0,421.0,409.75,379.75,1.37999999999984,51.37999999999984
0,14,430.375,26.37999999999984,66.91113095238096,14,0,421.0,451.0,439.75,409.75,1.37999999999984,51.37999999999984
0,15,460.375,26.37999999999984,65.65714285714286,14,0,451.0,481.0,469.75,439.75,1.37999999999984,51.37999999999984
0,16,490.375,26.37999999999984,65.92774999999999,20,0,481.0,511.0,499.75,469.75,1.37999999999984,51.37999999999984
0,17,520.375,26.37999999999984,68.21939682539681,15,0,511.0,541.0,529.75,499.75,1.37999999999984,51.37999999999984
0,18,550.375,26.37999999999984,66.52992481203006,19,0,541.0,571.0,559.75,529.75,1.37999999999984,51.37999999999984
0,19,580.375,26.37999999999984,69.49333333333334,18,0,571.0,601.0,589.75,559.75,1.37999999999984,51.37999999999984
0,20,610.375,26.37999999999984,66.46764880952381,16,0,601.0,631.0,619.75,589.75,1.37999999999984,51.37999999999984
0,21,640.375,26.37999999999984,64.92699074074073,24,0,631.0,661.0,649.75,619.75,1.37999999999984,51.37999999999984
0,22,670.375,26.37999999999984,61.295796590241025,27,0,661.0,691.0,679.75,649.75,1.37999999999984,51.37999999999984
0,23,700.375,26.37999999999984,63.21275613275614,22,0,691.0,721.0,709.75,679.75,1.37999999999984,51.37999999999984
0,24,730.375,26.37999999999984,67.78363591269841,24,0,721.0,751.0,739.75,709.75,1.37999999999984,51.37999999999984
0,25,760.375,26.37999999999984,66.42561224489795,14,0,751.0,781.0,769.75,739.75,1.37999999999984,51.37999999999984
0,26,790.375,26.37999999999984,67.09692810457516,17,0,781.0,811.0,799.75,769.75,1.37999999999984,51.37999999999984
0,27,820.375,26.37999999999984,63.02673076923077,13,0,811.0,841.0,829.75,799.75,1.37999999999984,51.37999999999984
0,28,850.375,26.37999999999984,56.45679653679653,33,0,841.0,871.0,859.75,829.75,1.37999999999984,51.37999999999984
0,29,880.375,26.37999999999984,67.24590434419382,19,0,871.0,901.0,889.75,859.75,1.37999999999984,51.37999999999984
0,30,910.375,26.37999999999984,70.05393518518518,18,0,901.0,931.0,919.75,889.75,1.37999999999984,51.37999999999984
0,31,940.375,26.37999999999984,70.75453703703705,12,0,931.0,961.0,949.75,919.75,1.37999999999984,51.37999999999984
0,32,970.375,26.37999999999984,64.76472582972583,22,0,961.0,991.0,979.75,949.75,1.37999999999984,51.37999999999984
0,33,1000.375,26.37999999999984,60.150857426303844,28,0,991.0,1021.0,1009.75,979.75,1.37999999999984,51.37999999999984
